id_ban_position,id_ban_adresse,cle_interop,id_ban_group,id_fantoir,numero,suffixe,nom_voie,code_postal,nom_commune,code_insee,nom_complementaire,x,y,lon,lat,typ_loc,source,date_der_maj
ban-position-b545c201db5d42bda903e3d96e4b5a97,ban-housenumber-6f88fa124dbc4702b3bc42e5ca73d224,40330_0090_2711,ban-group-2f819a28c4cb445595904066405a9bf3,403300090,2711,,Route de Rion-des-landes,40110,Villenave,40330,,391908.73024102295,6325183.29837443,-0.8399399999999999,43.958218,parcel,dgfip,2018-10-20
ban-position-83d9729772514e7e813a2d85d453373a,ban-housenumber-8a214e5bf04140abbf904d75fd3b24ea,40036_0300_323,ban-group-5c22bb5e24c948abbcbcd93090338f2b,400360300,323,,Rue de Guillebert,40230,Bénesse-Maremne,40036,,348485.67363842,6291678.67478031,-1.3570950000000002,43.636848,entrance,ign,2018-10-20
ban-position-d4097aa90050424c89fb17c7e6652304,ban-housenumber-cb890f75d17540ee98bb8f99bc61b34c,40195_0070_1525,ban-group-af6e7069c15d4fdfa3e41b6089e696a9,401950070,1525,,Chemin de Carrate,40500,Montgaillard,40195,,421344.45054466295,6302357.51556097,-0.46109799999999995,43.765266,parcel,dgfip,2018-10-20
ban-position-0a965e2ff2624f748870e4e52518b7fa,ban-housenumber-59f21ecfacba4f9b8074ff025e2f8b98,40279_0485_1431,ban-group-ef382ad980b64fd1abe3c43587a80f12,402790485,1431,,Avenue Pierre Benoit,40990,Saint-Paul-lès-Dax,40279,,373311.01835624705,6302812.88908683,-1.057025,43.74879,entrance,ign,2018-10-20
ban-position-01322e093ef94a0aa251f51e67115585,ban-housenumber-a99fa483eb4a46bc8d26b0488ab92762,40131_0043_4207,ban-group-c0a67ae9eaa94006a7f37de7553c3b23,401310043,4207,,Route d'Estang,40240,Labastide-d'Armagnac,40131,,445732.34888684296,6320767.68204798,-0.167691,43.940005,parcel,dgfip,2018-10-20
ban-position-53edff85be4845cfa0567e5e525a2b9e,ban-housenumber-e81fa2478d1343a680f70ece3cad63bb,40133_0367_10,ban-group-210a41fe9f5647e39c6082d65dcdc195,401330367,10,,IMPASSE DES SABLES,40530,Labenne,40133,,341998.921663146,6287649.04011496,-1.4345299999999999,43.597398999999996,segment,ign,2018-10-20
ban-position-2ad8fad2033b4cf5af81821da561931f,ban-housenumber-b0dfab8f907c465a840e049f51668e36,40184_1340_54,ban-group-8aba421fce2b4e56a092b9f9a824dfa0,401841340,54,,Rue du Pignada,40200,Mimizan,40184,,357879.464050108,6354242.86717425,-1.282908,44.203672,parcel,dgfip,2018-10-20
ban-position-d12f7c9925614fe89c4fc6bda67d3fce,ban-housenumber-dbd2f5ca199840709c4618c3fc512293,,ban-group-524d2b4888cd4de8970bf638ca2d9ceb,,1304,,ZA DU PLACH,40230,Saubion,40291,,351746.668222707,6295777.96683749,-1.319532,43.675289,entrance,ign,2019-11-08
ban-position-82198320003a4cd6897e89a6d26ea8e7,ban-housenumber-e6b7cd49996149878c65dd1be8668d35,40273_1052_14,ban-group-4179013742f04a97ad7ff01ee024e58b,402731052,14,,Rue du Résinier,40390,Saint-Martin-de-Seignanx,40273,,345813.909194417,6280981.15092545,-1.382792,43.539414,entrance,ign,2018-10-20
ban-position-c2b1c35fc0e848f1bd236b740b3fd7b0,ban-housenumber-8dc86b8ea9d94207890740f936ca6eaa,40187_0058_6,ban-group-2297df93d1cd47a9ada69963bed014b5,401870058,6,,Rue des Tilleuls,40660,Moliets-et-Maa,40187,,349993.99945117,6314937.92635491,-1.354319,43.846576,entrance,ign,2018-10-20
ban-position-33181c8d7b0d496c906d2ffdda92e7e3,ban-housenumber-86edba7bd3494944a69b4355d8b55802,40250_0125_915,ban-group-4748eaf182894ebebb1fec3053eb393e,402500125,915,,Route de Loustalas,40090,Saint-Avit,40250,,424096.457929091,6322483.47248817,-0.43783599999999995,43.947291,parcel,dgfip,2018-10-20
ban-position-70a51642c9094f7aa472a3f49aa7b900,ban-housenumber-2122ff9531364d3bb3a335c0dbe23075,40183_0190_27,ban-group-d271c8a9a2844cb8a61808aba52116b7,401830190,27,,RUE DE LA LIBERTE,40350,Mimbaste,40183,,379515.22348084796,6291328.42241828,-0.9729389999999999,43.648421,entrance,ign,2018-10-20
ban-position-80b339212c87430b957aa3e4806c3f0f,ban-housenumber-3d154bb12d5d41b1b8f0d1058b11683b,40184_0810_8,ban-group-829d6e70308647b7b26612c2dfe2b6b2,401840810,8,,Avenue de la Gare,40200,Mimizan,40184,,362286.805100731,6353580.00250187,-1.227396,44.199851,parcel,dgfip,2018-10-20
ban-position-772b38d190014f18804793e81c34b91c,ban-housenumber-4a87976e41c84b9dbda94b4123c66e5c,40235_0160_108,ban-group-b309a38a14e94cfe92d3daabd0c90a00,402350160,108,,Chemin de Pacheras,40380,Poyanne,40235,,392836.19451780204,6302943.9194323,-0.815017,43.758722,parcel,dgfip,2018-10-20
ban-position-2dae03464afd464e8f605c2a9f23dd9d,ban-housenumber-e6f9ad2897974873b634294369869f42,40192_0800_11,ban-group-c3cd0f0edae544f7abcfa7debb816249,401920800,11,,Rue des Forgerons,40000,Mont-de-Marsan,40192,,418205.473321526,6316091.3464275,-0.507608,43.88749,entrance,ign,2018-10-20
ban-position-dcdb5b646f024ccd9c4a7c61b8a39a3c,ban-housenumber-5b39b6a25afc4a94b167d8af6d8cb07e,40192_0215_48,ban-group-22beea9092e14b3ab2f0a4c88ad1d787,401920215,48,,Avenue Belle Chaumière,40000,Mont-de-Marsan,40192,,416849.219749879,6317372.63879885,-0.525179,43.898466,entrance,ign,2018-10-20
ban-position-57f8bc65e2ae433687d87cb0597476c7,ban-housenumber-87aa84e79e5d4d54b62d7cf28d3a9734,40303_0028_9_b,ban-group-17cd78b447574180a7abd1f51d978e41,403030028,9,B,Route Impériale,40210,Solférino,40303,,383159.621961898,6346308.40915191,-0.9620059999999999,44.144227,parcel,dgfip,2018-10-20
ban-position-98ac3f83b4864db3ad8bbb27118a9bb7,ban-housenumber-5e139e82cd44463fbc24f778caa671e2,40088_1075_6_ter,ban-group-af31d0c61ec44d85ae8e4d9b6668c2e6,400881075,6,TER,Rue de Jouandin,40100,Dax,40088,,371982.91699999897,6298134.98999999,-1.07049698595022,43.7061373236386,entrance,ign,2019-11-01
ban-position-35357fd051794a82b4676e6a79f19770,ban-housenumber-9db3543a1d2e45cd99a819a867fbab35,40326_0018_405,ban-group-6fdf795aead542e28ca554c052c15c92,403260018,405,,ALLEE DES HIBISCUS,40560,Vielle-Saint-Girons,40326,,353592.654535336,6322008.39666931,-1.31444,43.911885999999996,parcel,dgfip,2018-10-20
ban-position-d797bea469414cdc9b81ce195aa0db24,ban-housenumber-95e5e3a675ed43f3a435e5e421ed61bb,40246_0430_210,ban-group-843cc8683faa42da9aa05841081c4df1,402460430,210,,Rue Victor Hugo,40630,Sabres,40246,,401126.610775646,6345750.45460611,-0.737349,44.147092,parcel,dgfip,2018-10-20
ban-position-222228c93a924dc6a4d672fada1cb1ad,ban-housenumber-15ed396f9dd5493f9d19b5f93b756e97,40202_0448_44,ban-group-0365b8e923af4e25b950227ddc0ba157,402020448,44,,Route de l'Observatoire,40180,Narrosse,40202,,375936.968772777,6296706.45964234,-1.020613,43.695122,entrance,ign,2018-10-20
ban-position-cf1353201c25444a8ea3183f31921b71,ban-housenumber-3f4abf2d1a1745c59087e89bab70d1fe,40155_0015_24,ban-group-1d50577ceb7e4c0f9c9286e8473d817d,401550015,24,,Rue des Alouettes,40260,Linxe,40155,,358726.105796454,6323606.65323469,-1.251699,43.928753,parcel,dgfip,2018-10-20
ban-position-5189748087dc49628e47ba8994f0116d,ban-housenumber-6b3c58d44e3a41c082c99bcb8a7ea3a5,40192_2060_8,ban-group-3cd88766a4fe4cd5bdf423ba84fd82f1,401922060,8,,Rue de Saint-jean-d'Août,40000,Mont-de-Marsan,40192,,418360.64910512796,6316697.87881107,-0.5060140000000001,43.893005,parcel,dgfip,2018-10-20
ban-position-cfb276792eff4854a7a401b719d02331,ban-housenumber-307aaecc9e004b7fb1aba9c6007df269,40088_1565_12,ban-group-6effc30fd91f466f9b0a64749f0eb0b3,400881565,12,,Rue de Peyrouton,40100,Dax,40088,,373483.00943074794,6297329.41219235,-1.051402,43.699591999999996,entrance,ign,2018-10-20
ban-position-d04fbed001f646f4852919b45d2f6098,ban-housenumber-780b051108a44ef695432f2e65445109,40209_0455_114,ban-group-81c3c819b4d646958a61f05ec0994a24,402090455,114,,RUE JEAN BAPTISTE DARRIGRAND,40440,Ondres,40209,,340647.093787554,6283443.42132977,-1.448308,43.558935,entrance,ign,2018-10-20
ban-position-2c407ae441054296b8ff6f3ee4dec359,ban-housenumber-92d33b364bf84f2480de671e5871c529,40084_0175_160,ban-group-485e365a065c41208bc1f213297925b8,400840175,160,,CHEMIN DU SARRAILH,40180,Clermont,40084,,384778.98715352797,6290748.74443483,-0.907438,43.645573999999996,entrance,ign,2018-10-20
ban-position-53cf86121bb64a2ab791381b21b16c1c,ban-housenumber-d3401b50c16542dd94c261d9abc2c6d5,40209_0425_131,ban-group-83727d64b05e4c468479521537d26eb1,402090425,131,,Chemin du Claous,40440,Ondres,40209,,341756.481142967,6283080.85876419,-1.4343523966695,43.5562391764553,segment,ign,2019-11-03
ban-position-4c986294d792441da5f947eb6beda031,ban-housenumber-dbefbac3c17047239cc23e7ab85b3fa8,40313_0020_87,ban-group-71f14c27a24c4bf0905cd41d0e244f4c,403130020,87,,Rue du Docteur Calmette,40400,Tartas,40313,,393705.87108343706,6311470.12728114,-0.809337,43.835736,parcel,dgfip,2018-10-20
ban-position-ee84c2230e664a6382454f818267b3f3,ban-housenumber-c155362523c34a82bbc426ca15ff9e5f,40192_2194_6,ban-group-b6794afd56444c75930804612ebacf11,401922194,6,,Rue Serge Barranx,40000,Mont-de-Marsan,40192,,419226.48495454795,6317134.30132215,-0.49549,43.897273999999996,entrance,ign,2018-10-20
ban-position-2b108966e05d4bcfb334ae5e5efd0686,ban-housenumber-186ea864f8c446c88efb3000a03b3127,40187_0042_42,ban-group-2b0f3c9adc414cc4877c12e051b79d58,401870042,42,,Rue des Ponteils,40660,Moliets-et-Maa,40187,,349734.502194243,6314807.020103401,-1.357451,43.845271000000004,entrance,ign,2018-10-20
